target,baseline_id,outer_fold,config_id,threshold,inner_f1,inner_precision,inner_recall,selected
success,B0,4,B0_most_frequent,0.9,0.0,0.0,0.0,False
success,B0,4,B0_most_frequent,0.95,0.0,0.0,0.0,False
success,B0,5,B0_most_frequent,0.05,0.0,0.0,0.0,False
success,B0,5,B0_most_frequent,0.1,0.0,0.0,0.0,False
success,B0,5,B0_most_frequent,0.15,0.0,0.0,0.0,False
success,B0,5,B0_most_frequent,0.2,0.0,0.0,0.0,False
success,B0,5,B0_most_frequent,0.25,0.0,0.0,0.0,False
success,B0,5,B0_most_frequent,0.3,0.0,0.0,0.0,False
success,B0,5,B0_most_frequent,0.35,0.0,0.0,0.0,False
success,B0,5,B0_most_frequent,0.4,0.0,0.0,0.0,False
success,B0,5,B0_most_frequent,0.45,0.0,0.0,0.0,False
success,B0,5,B0_most_frequent,0.5,0.0,0.0,0.0,True
success,B0,5,B0_most_frequent,0.55,0.0,0.0,0.0,False
success,B0,5,B0_most_frequent,0.6,0.0,0.0,0.0,False
success,B0,5,B0_most_frequent,0.65,0.0,0.0,0.0,False
success,B0,5,B0_most_frequent,0.7,0.0,0.0,0.0,False
success,B0,5,B0_most_frequent,0.75,0.0,0.0,0.0,False
success,B0,5,B0_most_frequent,0.8,0.0,0.0,0.0,False
success,B0,5,B0_most_frequent,0.85,0.0,0.0,0.0,False
success,B0,5,B0_most_frequent,0.9,0.0,0.0,0.0,False
success,B0,5,B0_most_frequent,0.95,0.0,0.0,0.0,False
success,B1,1,B1_prior,0.05,0.5,0.3333333333333333,1.0,False
success,B1,1,B1_prior,0.1,0.5,0.3333333333333333,1.0,False
success,B1,1,B1_prior,0.15,0.5,0.3333333333333333,1.0,False
success,B1,1,B1_prior,0.2,0.5,0.3333333333333333,1.0,False
success,B1,1,B1_prior,0.25,0.5,0.3333333333333333,1.0,False
success,B1,1,B1_prior,0.3,0.5,0.3333333333333333,1.0,True
success,B1,1,B1_prior,0.35,0.0,0.0,0.0,False
success,B1,1,B1_prior,0.4,0.0,0.0,0.0,False
success,B1,1,B1_prior,0.45,0.0,0.0,0.0,False
success,B1,1,B1_prior,0.5,0.0,0.0,0.0,False
success,B1,1,B1_prior,0.55,0.0,0.0,0.0,False
success,B1,1,B1_prior,0.6,0.0,0.0,0.0,False
success,B1,1,B1_prior,0.65,0.0,0.0,0.0,False
success,B1,1,B1_prior,0.7,0.0,0.0,0.0,False
success,B1,1,B1_prior,0.75,0.0,0.0,0.0,False
success,B1,1,B1_prior,0.8,0.0,0.0,0.0,False
success,B1,1,B1_prior,0.85,0.0,0.0,0.0,False
success,B1,1,B1_prior,0.9,0.0,0.0,0.0,False
success,B1,1,B1_prior,0.95,0.0,0.0,0.0,False
success,B1,2,B1_prior,0.05,0.45,0.2903225806451613,1.0,False
success,B1,2,B1_prior,0.1,0.45,0.2903225806451613,1.0,False
success,B1,2,B1_prior,0.15,0.45,0.2903225806451613,1.0,False
success,B1,2,B1_prior,0.2,0.45,0.2903225806451613,1.0,False
